MM:DD:YYYY hh:mm:ss,New Column 1,New Column 2,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/18/2023 10:47:15,,,1.16.3,FR1,5,3.83,,1,Right,Left,0,1,0,0,,,12.8
4/18/2023 10:48:58,,,1.16.3,FR1,5,3.83,,1,Left,Left,1,1,0,0,,,0.32
4/18/2023 10:49:27,,,1.16.3,FR1,5,3.83,,1,RightWithPellet,Left,1,2,0,0,,,0.09
4/18/2023 11:00:59,,,1.16.3,FR1,5,3.83,1.0,1,Pellet,Left,1,2,1,0,Timed_out,,
4/18/2023 11:08:02,,,1.16.3,FR1,5,3.83,,1,Left,Left,2,2,1,0,,,1.01
4/18/2023 11:08:31,,,1.16.3,FR1,5,3.83,1.0,1,Pellet,Left,2,2,2,0,27.77,452.0,
4/18/2023 11:08:33,,,1.16.3,FR1,5,3.83,,1,LeftinTimeOut,Left,3,2,2,0,,,
4/18/2023 11:16:34,,,1.16.3,FR1,5,3.83,,1,Left,Left,4,2,2,0,,,0.19
4/18/2023 11:16:46,,,1.16.3,FR1,5,3.83,2.0,1,Pellet,Left,4,2,3,0,9.01,495.0,
4/18/2023 11:22:48,,,1.16.3,FR1,5,3.83,,1,Right,Left,4,3,3,0,,,0.47
4/18/2023 11:26:21,,,1.16.3,FR1,5,3.83,,1,Right,Left,4,4,3,0,,,0.36
4/18/2023 11:34:36,,,1.16.3,FR1,5,3.83,,1,Left,Left,5,4,3,0,,,0.31
4/18/2023 11:37:58,,,1.16.3,FR1,5,3.83,1.0,1,Pellet,Left,5,4,4,0,Timed_out,1272.0,
4/18/2023 11:46:04,,,1.16.3,FR1,5,3.83,,1,Right,Left,5,5,4,0,,,0.57
4/18/2023 11:46:06,,,1.16.3,FR1,5,3.83,,1,Right,Left,5,6,4,0,,,0.17
4/18/2023 11:46:10,,,1.16.3,FR1,5,3.82,,1,Right,Left,5,7,4,0,,,0.01
4/18/2023 11:46:11,,,1.16.3,FR1,5,3.82,,1,Right,Left,5,8,4,0,,,0.3
4/18/2023 11:46:16,,,1.16.3,FR1,5,3.82,,1,Left,Left,6,8,4,0,,,0.44
4/18/2023 11:46:19,,,1.16.3,FR1,5,3.83,2.0,1,Pellet,Left,6,8,5,0,0.40,501.0,
4/18/2023 11:51:38,,,1.16.3,FR1,5,3.82,,1,Left,Left,7,8,5,0,,,0.11
4/18/2023 11:51:39,,,1.16.3,FR1,5,3.83,1.0,1,Pellet,Left,7,8,6,0,0.47,320.0,
4/18/2023 11:51:57,,,1.16.3,FR1,5,3.83,,1,Left,Left,8,8,6,0,,,0.23
4/18/2023 11:59:45,,,1.16.3,FR1,5,3.82,,1,LeftWithPellet,Left,9,8,6,0,,,0.13
4/18/2023 12:00:13,,,1.16.3,FR1,5,3.83,2.0,1,Pellet,Left,9,8,7,0,Timed_out,514.0,
4/18/2023 12:11:57,,,1.16.3,FR1,5,3.83,,1,Right,Left,9,9,7,0,,,0.07
4/18/2023 12:13:32,,,1.16.3,FR1,5,3.83,,1,Left,Left,10,9,7,0,,,0.23
4/18/2023 12:13:33,,,1.16.3,FR1,5,3.83,2.0,1,Pellet,Left,10,9,8,0,0.13,800.0,
4/18/2023 12:21:53,,,1.16.3,FR1,5,3.82,,1,Left,Left,11,9,8,0,,,0.12
4/18/2023 12:21:54,,,1.16.3,FR1,5,3.83,2.0,1,Pellet,Left,11,9,9,0,0.27,501.0,
4/18/2023 12:27:18,,,1.16.3,FR1,5,3.83,,1,Left,Left,12,9,9,0,,,0.16
4/18/2023 12:27:19,,,1.16.3,FR1,5,3.82,1.0,1,Pellet,Left,12,9,10,0,0.20,325.0,
4/18/2023 12:28:28,,,1.16.3,FR1,5,3.82,,1,Right,Left,12,10,10,0,,,0.09
4/18/2023 12:29:32,,,1.16.3,FR1,5,3.83,,1,Left,Left,13,10,10,0,,,0.04
4/18/2023 12:29:34,,,1.16.3,FR1,5,3.83,1.0,1,Pellet,Left,13,10,11,0,0.75,135.0,
4/18/2023 12:41:02,,,1.16.3,FR1,5,3.82,,1,Left,Left,14,10,11,0,,,0.05
4/18/2023 12:41:06,,,1.16.3,FR1,5,3.82,2.0,1,Pellet,Left,14,10,12,0,0.54,692.0,
4/18/2023 12:49:00,,,1.16.3,FR1,5,3.83,,1,Left,Left,15,10,12,0,,,0.23
4/18/2023 12:49:02,,,1.16.3,FR1,5,3.82,2.0,1,Pellet,Left,15,10,13,0,0.34,476.0,
4/18/2023 12:49:22,,,1.16.3,FR1,5,3.82,,1,Left,Left,16,10,13,0,,,0.07
4/18/2023 12:49:24,,,1.16.3,FR1,5,3.83,1.0,1,Pellet,Left,16,10,14,0,1.08,22.0,
