MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/19/2023 10:34:36,1.16.3,FR1,5,3.78,nan,1,Right,Left,0,1,0,0,nan,nan,15.84
4/19/2023 10:37:46,1.16.3,FR1,5,3.78,nan,1,Right,Left,0,2,0,0,nan,nan,0.22
4/19/2023 10:38:03,1.16.3,FR1,5,3.79,nan,1,Right,Left,0,3,0,0,nan,nan,0.15
4/19/2023 10:39:21,1.16.3,FR1,5,3.79,nan,1,Right,Left,0,4,0,0,nan,nan,0.04
4/19/2023 10:42:54,1.16.3,FR1,5,3.78,nan,1,Right,Left,0,5,0,0,nan,nan,0.14
4/19/2023 10:42:57,1.16.3,FR1,5,3.79,nan,1,Right,Left,0,6,0,0,nan,nan,0.22
4/19/2023 10:43:00,1.16.3,FR1,5,3.79,nan,1,Right,Left,0,7,0,0,nan,nan,0.39
4/19/2023 10:44:05,1.16.3,FR1,5,3.78,nan,1,Left,Left,1,7,0,0,nan,nan,0.05
4/19/2023 10:44:18,1.16.3,FR1,5,3.78,2,1,Pellet,Left,1,7,1,0,9.82,nan,nan
4/19/2023 10:46:51,1.16.3,FR1,5,3.78,nan,1,Left,Left,2,7,1,0,nan,nan,0.36
4/19/2023 10:46:52,1.16.3,FR1,5,3.78,2,1,Pellet,Left,2,7,2,0,0.13,154,nan
4/19/2023 10:47:23,1.16.3,FR1,5,3.78,nan,1,Right,Left,2,8,2,0,nan,nan,0.18
4/19/2023 10:47:24,1.16.3,FR1,5,3.79,nan,1,Right,Left,2,9,2,0,nan,nan,0.00
4/19/2023 10:47:34,1.16.3,FR1,5,3.78,nan,1,Left,Left,3,9,2,0,nan,nan,0.52
4/19/2023 10:47:34,1.16.3,FR1,5,3.78,nan,1,LeftDuringDispense,Left,4,9,2,0,nan,nan,0.07
4/19/2023 10:47:42,1.16.3,FR1,5,3.79,nan,1,RightWithPellet,Left,4,10,2,0,nan,nan,0.14
4/19/2023 10:47:44,1.16.3,FR1,5,3.78,3,1,Pellet,Left,4,10,3,0,6.91,52,nan
4/19/2023 10:47:53,1.16.3,FR1,5,3.78,nan,1,Right,Left,4,11,3,0,nan,nan,0.19
4/19/2023 10:48:56,1.16.3,FR1,5,3.78,nan,1,Right,Left,4,12,3,0,nan,nan,0.14
4/19/2023 10:58:14,1.16.3,FR1,5,3.78,nan,1,Left,Left,5,12,3,0,nan,nan,0.15
4/19/2023 10:58:17,1.16.3,FR1,5,3.79,2,1,Pellet,Left,5,12,4,0,0.95,633,nan
4/19/2023 11:03:50,1.16.3,FR1,5,3.78,nan,1,Right,Left,5,13,4,0,nan,nan,0.09
