MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/19/2023 10:42:47,22.02,66.23,1.16.3,FR1,14,3.87,nan,1,Right,Left,0,1,0,0,nan,nan,17.08
4/19/2023 10:44:10,22.07,66.28,1.16.3,FR1,14,3.87,nan,1,Left,Left,1,1,0,0,nan,nan,0.03
4/19/2023 10:44:10,22.08,66.28,1.16.3,FR1,14,3.86,nan,1,LeftDuringDispense,Left,2,1,0,0,nan,nan,0.04
4/19/2023 10:44:11,22.10,66.28,1.16.3,FR1,14,3.87,nan,1,LeftDuringDispense,Left,3,1,0,0,nan,nan,0.02
4/19/2023 10:45:43,22.13,66.17,1.16.3,FR1,14,3.87,3,1,Pellet,Left,3,1,1,0,Timed_out,nan,nan
4/19/2023 10:45:46,22.13,66.15,1.16.3,FR1,14,3.87,nan,1,RightinTimeout,Left,3,2,1,0,nan,nan,0.06
4/19/2023 11:50:53,22.37,64.68,1.16.3,FR1,14,3.86,nan,1,Right,Left,3,3,1,0,nan,nan,0.13
4/19/2023 14:24:07,21.96,66.18,1.16.3,FR1,14,3.86,nan,1,Left,Left,4,3,1,0,nan,nan,0.02
4/19/2023 14:28:11,21.97,66.14,1.16.3,FR1,14,3.86,1,1,Pellet,Left,4,3,2,0,Timed_out,13348,nan
4/19/2023 14:32:16,22.00,66.12,1.16.3,FR1,14,3.86,nan,1,Left,Left,5,3,2,0,nan,nan,0.15
4/19/2023 14:32:18,21.97,66.11,1.16.3,FR1,14,3.85,1,1,Pellet,Left,5,3,3,0,0.68,247,nan
4/19/2023 15:14:31,22.06,66.26,1.16.3,FR1,14,3.89,nan,1,Right,Left,5,4,3,0,nan,nan,0.63
4/19/2023 15:14:33,22.06,66.25,1.16.3,FR1,14,3.88,nan,1,Right,Left,5,5,3,0,nan,nan,0.12
4/19/2023 15:14:36,22.06,66.23,1.16.3,FR1,14,3.89,nan,1,Left,Left,6,5,3,0,nan,nan,0.55
4/19/2023 15:14:43,22.07,66.26,1.16.3,FR1,14,3.89,nan,1,LeftWithPellet,Left,7,5,3,0,nan,nan,0.36
