Variable,FED004_042523_00.CSV,FED012_042123_02.CSV,FED012_042223_00.CSV,FED014_042123_02.CSV,FED014_042223_00.CSV,FED016_042123_04.CSV,FED016_042223_00.CSV,FED018_042123_05.CSV,FED020_042123_02.CSV,FED020_042223_02.CSV,Average,STD
Pellets Taken,51.0,42.0,52.0,47.0,59.0,40.0,60.0,41.0,53.0,55.0,50.0,7.2571803523590805
Pellets Taken (Night),33.0,24.0,40.0,30.0,44.0,25.0,41.0,21.0,36.0,36.0,33.0,7.817359599705716
Pellets Taken (Day),18.0,18.0,12.0,17.0,15.0,15.0,19.0,20.0,17.0,19.0,17.0,2.4037008503093262
Pellets per Hour,2.2849746736194945,1.8205461638491547,2.274245866388055,2.036542211309309,2.5892019065498033,1.7384585667374925,2.6293685863491945,1.7778848470248134,2.3050437934158863,2.48257184412458,2.193883845936779,0.33349679033977603
Pellets per Hour (Night),2.8661728871625374,2.145144871763041,3.330249768732655,2.4960709993528707,3.791650708540789,2.124846538861082,3.493491124260355,1.7485428809325563,3.05329124063516,2.978967934720147,2.802842895496119,0.6606858586889797
Pellets per Hour (Day),1.6657241272942265,1.5149035651665692,1.1056228085890514,1.5371477369769426,1.341381623071764,1.3341239252890602,1.71432867991679,1.8097727729740598,1.5175184110689577,1.8868445008413561,1.5427368151188778,0.23824864475634144
Number of Meals,49.0,41.0,51.0,46.0,55.0,39.0,59.0,40.0,50.0,49.0,47.9,6.5226102477799826
Number of Meals (Night),33.0,24.0,40.0,30.0,41.0,25.0,41.0,21.0,35.0,32.0,32.2,7.254117604658903
Number of Meals (Day),16.0,17.0,11.0,16.0,14.0,14.0,18.0,19.0,15.0,17.0,15.7,2.3118054512532935
Average Pellets per Meal,1.0204081632653061,1.0,1.0,1.0,1.0545454545454545,1.0,1.0,1.0,1.04,1.1020408163265305,1.021699443413729,0.034472806499168535
Average Pellets per Meal (Night),1.0,1.0,1.0,1.0,1.0731707317073171,1.0,1.0,1.0,1.0285714285714285,1.125,1.0226742160278746,0.043016898209901434
Average Pellets per Meal (Day),1.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0588235294117647,1.0187990196078431,0.03032576952351559
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,1509.0,454.0,1145.0,1076.0,984.0,437.0,1296.0,396.0,1747.0,650.0,969.4,474.31827101875615
Total Pokes (Night),1215.0,219.0,967.0,582.0,728.0,209.0,923.0,220.0,1415.0,538.0,701.6,427.0358298784775
Total Pokes (Day),293.0,234.0,177.0,493.0,255.0,227.0,372.0,175.0,331.0,111.0,266.8,110.85806741555217
Correct Pokes (%),0.009463220675944335,0.009008810572687225,0.00926637554585153,0.009423791821561339,0.009410569105691057,0.008695652173913044,0.009637345679012345,0.00845959595959596,0.009685174585002862,0.009507692307692307,0.009255822842695199,0.00040789561767594443
Correct Pokes (%) (Night),95.55555555555556,90.8675799086758,93.69183040330921,95.36082474226805,95.05494505494505,89.95215311004785,96.64138678223185,85.45454545454545,97.87985865724382,96.28252788104089,93.67412075498636,3.8134203972328535
Correct Pokes (%) (Day),91.80887372013652,90.5982905982906,88.13559322033898,93.50912778904666,92.54901960784314,85.46255506607929,96.50537634408603,85.14285714285714,93.35347432024169,90.990990990991,90.80561587999111,3.6233090394391922
Recording Duration (Hours),22.31972222222222,23.07,22.864722222222223,23.078333333333333,22.786944444444444,23.00888888888889,22.819166666666668,23.06111111111111,22.993055555555557,22.154444444444444,22.81563888888889,0.3247466050789266
Battery Change (V),-0.040000000000000036,-0.05999999999999961,-0.020000000000000018,-0.04999999999999982,-0.03000000000000025,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.04999999999999982,-0.04999999999999982,-0.04199999999999995,0.011352924243950789
Battery Rate (V/hour),-0.0017921369989172522,-0.002600780234070204,-0.0008747099486107913,-0.002166534267350321,-0.0013165433423134702,-0.0017384585667374942,-0.0017529123908994646,-0.0017345218019754291,-0.0021745696164300735,-0.002256883494658701,-0.0018408050661963202,0.0004953378840743719
Motor Turns (Mean),1.411764705882353,1.6666666666666667,1.7692307692307692,2.0851063829787235,1.3220338983050848,1.9,1.3833333333333333,1.8780487804878048,1.7735849056603774,1.509090909090909,1.6698860351636022,0.25493366285237684
Motor Turns (Median),1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.4,0.5163977794943223
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
