Variable,FED000_042323_00.CSV,FED000_042423_00.CSV,FED005_042523_00.CSV,FED007_042523_00.CSV,FED011_042323_00.CSV,FED011_042423_00.CSV,FED015_042323_00.CSV,FED015_042423_00.CSV,FED017_042323_00.CSV,FED017_042423_00.CSV,Average,STD
Pellets Taken,74.0,77.0,91.0,58.0,105.0,78.0,75.0,106.0,78.0,70.0,81.2,15.16428552736843
Pellets Taken (Night),45.0,37.0,52.0,29.0,66.0,43.0,52.0,61.0,36.0,40.0,46.1,11.608904628201003
Pellets Taken (Day),29.0,40.0,39.0,29.0,39.0,35.0,23.0,45.0,42.0,30.0,35.1,7.046669820245273
Pellets per Hour,3.2963769550584043,3.3757535164099126,4.072651325849401,2.601156069364162,4.703481571808974,3.416266196240647,3.379054865839007,4.628877109135239,3.4758928018815376,3.0576958078019776,3.600720621938926,0.6693187001169124
Pellets per Hour (Night),4.009801737580753,2.97813352412467,4.333935268787331,2.5718086416711827,5.830674846625767,3.61995182751444,4.331728989263236,5.327769421126693,3.1690915759872844,3.4876961829102884,3.9660592015591654,1.0277114535547864
Pellets per Hour (Day),2.5831993071879253,3.851400144427505,3.769633507853403,2.6311810071072133,3.544022617124394,3.1953743152769323,2.256868730920192,3.9300356614347054,3.790423665078967,2.626012108833613,3.2178151065244855,0.6384453915375193
Number of Meals,64.0,62.0,74.0,51.0,59.0,66.0,60.0,86.0,64.0,63.0,64.9,9.397990328906612
Number of Meals (Night),43.0,31.0,47.0,28.0,36.0,43.0,46.0,50.0,32.0,40.0,39.6,7.501111028818776
Number of Meals (Day),21.0,31.0,27.0,23.0,23.0,23.0,14.0,36.0,32.0,23.0,25.3,6.342975116877989
Average Pellets per Meal,1.140625,1.2258064516129032,1.2162162162162162,1.1176470588235294,1.7627118644067796,1.1666666666666667,1.2333333333333334,1.2209302325581395,1.203125,1.0952380952380953,1.2382299918855664,0.19058703898994317
Average Pellets per Meal (Night),1.0465116279069768,1.1935483870967742,1.1063829787234043,1.0357142857142858,1.8333333333333333,1.0,1.1304347826086956,1.22,1.125,1.0,1.169092539538347,0.24535166727867105
Average Pellets per Meal (Day),1.3333333333333333,1.2580645161290323,1.4074074074074074,1.2173913043478262,1.6521739130434783,1.4782608695652173,1.5714285714285714,1.2222222222222223,1.28125,1.2608695652173914,1.3682401702694478,0.15350426829913968
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,944.0,1071.0,1899.0,1093.0,1248.0,2329.0,1534.0,1672.0,1156.0,1989.0,1493.5,466.255354452424
Total Pokes (Night),682.0,624.0,1465.0,825.0,889.0,1969.0,1253.0,1120.0,602.0,1661.0,1109.0,470.8804991125078
Total Pokes (Day),261.0,446.0,433.0,267.0,358.0,359.0,280.0,551.0,553.0,327.0,383.5,108.97323830494653
Correct Pokes (%),0.009046610169491525,0.00907563025210084,0.009252238020010533,0.009414455626715461,0.009599358974358974,0.009471876341777588,0.009426336375488918,0.009587320574162679,0.00967993079584775,0.009527400703871293,0.009408115783382557,0.00021775853479591355
Correct Pokes (%) (Night),91.0557184750733,92.94871794871796,92.0136518771331,95.03030303030303,97.75028121484814,95.63230066023361,93.53551476456504,97.32142857142857,98.00664451827242,97.04996989765202,95.03445309582273,2.5256973596202825
Correct Pokes (%) (Day),90.03831417624522,88.34080717488789,94.91916859122402,92.50936329588015,92.45810055865921,90.5292479108635,98.57142857142858,93.28493647912886,96.02169981916818,87.1559633027523,92.38290298802379,3.5181942442960814
Recording Duration (Hours),22.448888888888888,22.809722222222224,22.344166666666666,22.297777777777778,22.323888888888888,22.831944444444446,22.195555555555554,22.899722222222223,22.440277777777776,22.893055555555556,22.548499999999997,0.27727272604613307
Battery Change (V),-0.04999999999999982,-0.05000000000000071,-0.04999999999999982,-0.06000000000000005,-0.04999999999999982,-0.04999999999999982,-0.05000000000000071,-0.04999999999999982,-0.04999999999999982,-0.040000000000000036,-0.050000000000000044,0.004714045207910321
Battery Rate (V/hour),-0.002227281726390806,-0.002192047737928546,-0.0022377205087084546,-0.0026908511062387905,-0.002239753129432837,-0.002189914228359381,-0.0022527032438927033,-0.00218343259864869,-0.0022281364114625163,-0.0017472547473154174,-0.002218909543837814,0.00022363003528409671
Motor Turns (Mean),1.6216216216216217,1.4545454545454546,1.7142857142857142,1.7241379310344827,1.4952380952380953,1.9487179487179487,1.9333333333333333,1.6886792452830188,1.5,1.5571428571428572,1.6637702201202527,0.17410746323296072
Motor Turns (Median),1.0,1.0,1.0,1.5,1.0,2.0,2.0,2.0,1.0,1.0,1.35,0.4743416490252569
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
