Variable,FED006_042523_00.CSV,FED008_042523_00.CSV,FED012_042323_00.CSV,FED012_042423_00.CSV,FED014_042323_00.CSV,FED014_042423_00.CSV,FED016_042323_00.CSV,FED016_042423_00.CSV,FED020_042323_00.CSV,FED020_042423_00.CSV,Average,STD
Pellets Taken,48.0,39.0,44.0,52.0,43.0,52.0,41.0,45.0,58.0,49.0,47.1,5.820461990063828
Pellets Taken (Night),38.0,24.0,27.0,37.0,31.0,31.0,35.0,22.0,34.0,35.0,31.4,5.4812812776251905
Pellets Taken (Day),10.0,15.0,17.0,15.0,12.0,21.0,6.0,23.0,24.0,14.0,15.7,5.735852159879995
Pellets per Hour,2.172901603269412,1.748356246264196,1.9716942380223308,2.2711831505386777,1.9147988719014397,2.271458732739583,1.854947154113936,1.9760435217486767,2.5926293831330085,2.1461681651722166,2.0920181066903476,0.24900374292991376
Pellets per Hour (Night),3.3296823658269443,2.333747501485603,2.4633787825029145,3.1040991820279182,2.7634022533118734,2.4905155099308187,2.895686346609059,1.8102029621503015,2.995008319467554,3.043845875105689,2.7229569098418676,0.45066022349858476
Pellets per Hour (Day),0.9365244536940688,1.247631809990296,1.4971012011057023,1.3666388277275832,1.0677475963320893,2.0104244229337302,0.5990348882356203,2.1658383468480253,2.178078047796713,1.2353546742487378,1.4304374268912565,0.5357113173926353
Number of Meals,41.0,38.0,36.0,46.0,42.0,49.0,39.0,40.0,53.0,48.0,43.2,5.513619500836088
Number of Meals (Night),32.0,24.0,22.0,37.0,31.0,29.0,34.0,22.0,32.0,35.0,29.8,5.411920998027308
Number of Meals (Day),9.0,14.0,14.0,9.0,11.0,20.0,5.0,18.0,21.0,13.0,13.4,5.146735750831676
Average Pellets per Meal,1.146341463414634,1.0,1.1944444444444444,1.108695652173913,1.0,1.0408163265306123,1.0256410256410255,1.1,1.0754716981132075,1.0,1.0691410610317837,0.06770340497642613
Average Pellets per Meal (Night),1.1875,1.0,1.2272727272727273,1.0,1.0,1.0689655172413792,1.0294117647058822,1.0,1.0625,1.0,1.0575650009219988,0.08379829865812798
Average Pellets per Meal (Day),1.0,1.0,1.1428571428571428,1.5555555555555556,1.0,1.0,1.0,1.2222222222222223,1.0952380952380953,1.0,1.1015873015873017,0.17773368059794084
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,1070.0,670.0,304.0,1338.0,410.0,702.0,830.0,703.0,896.0,1178.0,810.1,324.61137448408124
Total Pokes (Night),1017.0,565.0,206.0,1255.0,328.0,517.0,704.0,538.0,603.0,1015.0,674.8,328.49684591754874
Total Pokes (Day),52.0,104.0,97.0,82.0,81.0,184.0,125.0,164.0,292.0,162.0,134.3,69.70899830326387
Correct Pokes (%),0.009121495327102803,0.00917910447761194,0.00805921052631579,0.009461883408071749,0.00853658536585366,0.00876068376068376,0.009289156626506024,0.0089900426742532,0.009330357142857144,0.009040747028862478,0.008976926633811855,0.00042248853939888233
Correct Pokes (%) (Night),92.52704031465093,96.28318584070796,85.43689320388349,95.37848605577689,86.58536585365853,91.87620889748548,92.4715909090909,93.12267657992564,97.6782752902156,93.79310344827586,92.51528263936714,3.8977379111111485
Correct Pokes (%) (Day),71.15384615384616,70.1923076923077,73.19587628865979,85.36585365853658,83.9506172839506,77.17391304347827,97.6,81.09756097560977,85.27397260273972,70.98765432098766,79.59916020201163,8.765608123401888
Recording Duration (Hours),22.09027777777778,22.30666666666667,22.315833333333334,22.895555555555557,22.456666666666667,22.892777777777777,22.103055555555557,22.772777777777776,22.371111111111112,22.83138888888889,22.50361111111111,0.31798968264961763
Battery Change (V),-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.5500000000000003,-0.03999999999999959,-0.040000000000000036,-0.050000000000000266,-0.040000000000000036,-0.040000000000000036,-0.050000000000000266,0.016999999999999994,0.18732325002519049
Battery Rate (V/hour),-0.001810751336057845,-0.001793185893604305,-0.0017924493072930298,0.024022129476851412,-0.0017812082529315538,-0.0017472759482612193,-0.0022621306757487146,-0.0017564831304432698,-0.0017880202642296629,-0.0021899675154818652,0.0007100657152799945,0.008193148224226177
Motor Turns (Mean),1.5,2.051282051282051,1.4772727272727273,1.8076923076923077,1.6511627906976745,1.8461538461538463,1.975609756097561,1.5333333333333334,1.6724137931034482,1.6122448979591837,1.7127165503592132,0.19970354031030724
Motor Turns (Median),1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.4,0.5163977794943223
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
