Variable,FED002_042123_02.CSV,FED002_042223_00.CSV,FED004_042123_02.CSV,FED004_042223_00.CSV,FED006_042123_02.CSV,FED006_042223_00.CSV,FED008_042123_02.CSV,FED008_042223_00.CSV,FED010_042123_02.CSV,FED010_042223_00.CSV,Average,STD
Pellets Taken,33.0,39.0,47.0,48.0,48.0,41.0,43.0,46.0,48.0,52.0,44.5,5.562773089426212
Pellets Taken (Night),27.0,26.0,33.0,29.0,32.0,30.0,28.0,37.0,35.0,32.0,30.9,3.541813722437199
Pellets Taken (Day),6.0,13.0,14.0,19.0,16.0,11.0,15.0,9.0,13.0,20.0,13.6,4.273952113286562
Pellets per Hour,1.4364480557167731,1.7609431832434466,2.0374005081459896,2.098462584703568,2.082730691350882,1.7915230373355344,1.8830971352107535,2.0091966853107825,2.1299937135602205,2.28161907199532,1.951141466657327,0.24088416042243957
Pellets per Hour (Night),1.7702338457055438,2.267716535433071,2.7817453813192214,2.4621480118862316,2.755189897637042,2.52986647926915,2.2638966872543516,3.2080152212133615,2.899751449875725,2.7195467422096313,2.565811025180333,0.4020866106675097
Pellets per Hour (Day),0.7770902288099008,1.217006891171499,1.249380267724343,1.7123973562988182,1.39955292059481,0.9975313617814499,1.4331210191082802,0.7921760391198044,1.2422030524220304,1.814196084360118,1.2634655221391053,0.3471072974310776
Number of Meals,32.0,37.0,46.0,46.0,47.0,40.0,41.0,45.0,46.0,50.0,43.0,5.436502143433364
Number of Meals (Night),27.0,26.0,33.0,29.0,32.0,30.0,27.0,37.0,34.0,32.0,30.7,3.529242915351047
Number of Meals (Day),5.0,11.0,13.0,17.0,15.0,10.0,14.0,8.0,12.0,18.0,12.3,4.001388647846034
Average Pellets per Meal,1.0,1.027027027027027,1.0,1.0217391304347827,1.0,1.0,1.024390243902439,1.0,1.0217391304347827,1.02,1.011489553179903,0.012249378437396003
Average Pellets per Meal (Night),1.0,1.0,1.0,1.0,1.0,1.0,1.037037037037037,1.0,1.0294117647058822,1.0,1.006644880174292,0.014123462316656128
Average Pellets per Meal (Day),1.0,1.0909090909090908,1.0,1.0588235294117647,1.0,1.0,1.0,1.0,1.0,1.0555555555555556,1.020528817587641,0.03431353257502235
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,840.0,883.0,1565.0,916.0,1654.0,1214.0,350.0,1005.0,1793.0,1511.0,1173.1,453.6201176216848
Total Pokes (Night),785.0,719.0,1034.0,582.0,1220.0,859.0,256.0,918.0,1222.0,1062.0,865.7,298.58371243812564
Total Pokes (Day),54.0,163.0,530.0,334.0,434.0,354.0,93.0,86.0,570.0,448.0,306.6,193.57065893363077
Correct Pokes (%),0.00925,0.009411098527746319,0.00969968051118211,0.009323144104803494,0.008851269649334945,0.009818780889621088,0.009542857142857143,0.009432835820895522,0.008287785833798104,0.00970880211780278,0.00933262545980415,0.00045986628650470106
Correct Pokes (%) (Night),95.79617834394905,96.24478442280946,97.58220502901354,96.90721649484536,90.08196721311475,99.18509895227008,96.875,95.53376906318083,85.67921440261865,98.39924670433146,95.22846806261332,4.1620137444859795
Correct Pokes (%) (Day),50.0,85.88957055214725,96.41509433962264,87.72455089820359,84.7926267281106,96.61016949152543,94.6236559139785,84.88372093023256,77.19298245614034,94.64285714285714,85.27752284528181,13.921008236659786
Recording Duration (Hours),22.973333333333333,22.147222222222222,23.06861111111111,22.87388888888889,23.046666666666667,22.885555555555555,22.834722222222222,22.89472222222222,22.53527777777778,22.79083333333333,22.805083333333332,0.2752817502298364
Battery Change (V),-0.05000000000000071,-0.02999999999999936,-0.040000000000000036,-0.03000000000000025,-0.05000000000000071,-0.03999999999999959,-0.04999999999999982,-0.03000000000000025,-0.05999999999999961,-0.05999999999999961,-0.044,0.011737877907772656
Battery Rate (V/hour),-0.002176436448055748,-0.001354571679418007,-0.0017339578792731842,-0.001311539115439741,-0.0021695111368238663,-0.0017478273534980643,-0.0021896478316404035,-0.0013103456643331298,-0.002662492141950258,-0.0026326373907638134,-0.001928896664119622,0.0005147758812540952
Motor Turns (Mean),1.696969696969697,1.7179487179487178,1.8297872340425532,1.6458333333333333,1.8958333333333333,1.951219512195122,1.813953488372093,2.0434782608695654,1.5208333333333333,1.8846153846153846,1.8000472295013128,0.15585741255571034
Motor Turns (Median),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.9,0.31622776601683794
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
