Variable,FED000_040923_00.CSV,FED000_041023_00.CSV,FED011_040923_00.CSV,FED011_041023_00.CSV,FED015_040923_00.CSV,FED015_041023_00.CSV,FED017_040923_00.CSV,FED017_041023_00.CSV,FED019_040923_00.CSV,FED019_041023_00.CSV,Average,STD
Pellets Taken,128.0,72.0,95.0,144.0,119.0,94.0,114.0,130.0,136.0,128.0,116.0,22.464787260658994
Pellets Taken (Night),81.0,53.0,66.0,92.0,78.0,55.0,67.0,87.0,76.0,71.0,72.6,12.764534199622537
Pellets Taken (Day),47.0,20.0,29.0,52.0,41.0,39.0,47.0,43.0,60.0,57.0,43.5,12.20427975934854
Pellets per Hour,5.4203474762683355,3.388899784271426,4.019557143528748,6.1344756585331215,5.115407119060981,4.0327001453869435,4.735858201204736,5.562026098737848,5.7799237371173575,5.497756991505201,4.96869523556147,0.894521245849114
Pellets per Hour (Night),7.000696228362903,4.304957018117823,5.1801949113741905,7.902271425844628,6.5688820268088985,4.885149638548271,5.709821745614658,7.260083449235049,6.355548328648749,6.243892905999609,6.141149767855479,1.1249927512835243
Pellets per Hour (Day),3.9022140221402215,2.2385275463250838,2.662110819287554,4.394985209184392,3.6000000000000005,3.236290712952078,3.8095238095238093,3.7754255889956587,5.185078496327236,4.78544776119403,3.758960396593006,0.9023803781677057
Number of Meals,69.0,44.0,41.0,73.0,76.0,64.0,75.0,69.0,96.0,74.0,68.1,15.919589609450783
Number of Meals (Night),39.0,28.0,29.0,42.0,51.0,37.0,43.0,38.0,51.0,42.0,40.0,7.731609003162134
Number of Meals (Day),30.0,17.0,13.0,31.0,25.0,27.0,32.0,31.0,45.0,33.0,28.4,8.859395514869448
Average Pellets per Meal,1.8405797101449275,1.6136363636363635,2.292682926829268,1.9589041095890412,1.5526315789473684,1.421875,1.5066666666666666,1.8695652173913044,1.40625,1.7162162162162162,1.7179007789421157,0.2777037749280685
Average Pellets per Meal (Night),2.076923076923077,1.8928571428571428,2.2758620689655173,2.1904761904761907,1.5294117647058822,1.4864864864864864,1.558139534883721,2.289473684210526,1.4901960784313726,1.7142857142857142,1.8504111742225633,0.33528220876134474
Average Pellets per Meal (Day),1.5333333333333334,1.1176470588235294,2.1538461538461537,1.6451612903225807,1.6,1.3333333333333333,1.4375,1.3548387096774193,1.3111111111111111,1.696969696969697,1.518374068741716,0.28475082941632945
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,238.0,100.0,153.0,209.0,211.0,146.0,189.0,190.0,301.0,285.0,202.2,61.79679962946661
Total Pokes (Night),105.0,63.0,82.0,106.0,141.0,77.0,93.0,120.0,148.0,122.0,105.7,27.64075091438565
Total Pokes (Day),132.0,36.0,70.0,102.0,69.0,68.0,95.0,69.0,152.0,162.0,95.5,41.28559070668603
Correct Pokes (%),0.007899159663865547,0.008,0.008104575163398693,0.008086124401913876,0.0071090047393364926,0.006917808219178082,0.006931216931216931,0.008157894736842105,0.007674418604651163,0.007087719298245614,0.007596792175864851,0.0005242195872800385
Correct Pokes (%) (Night),94.28571428571428,95.23809523809523,89.02439024390245,92.45283018867924,66.66666666666666,75.32467532467533,78.49462365591397,84.16666666666667,81.08108108108108,81.14754098360656,83.78822843350014,9.135013992178699
Correct Pokes (%) (Day),68.93939393939394,61.111111111111114,75.71428571428571,70.58823529411765,82.6086956521739,63.23529411764706,62.10526315789474,81.15942028985508,74.3421052631579,64.19753086419753,70.40013354038346,7.857464627155792
Recording Duration (Hours),23.614722222222223,21.245833333333334,23.634444444444444,23.47388888888889,23.263055555555557,23.309444444444445,24.071666666666665,23.372777777777777,23.529722222222222,23.282222222222224,23.27977777777778,0.7536548214196658
Battery Change (V),-0.040000000000000036,-0.05999999999999961,-0.050000000000000266,0.41999999999999993,-0.06000000000000005,0.3999999999999999,-0.03000000000000025,0.5000000000000004,-0.050000000000000266,0.38000000000000034,0.14100000000000001,0.24646162649250977
Battery Rate (V/hour),-0.0016938585863338562,-0.002824083153559503,-0.0021155563913309314,0.0178922206707216,-0.0025791968667534383,0.017160426150582737,-0.0012462784740012566,0.021392408072068665,-0.0021249719621755105,0.01632146606853108,0.0060182575527749586,0.010564532266020379
Motor Turns (Mean),1.5390625,1.6527777777777777,1.305263157894737,1.3680555555555556,1.3781512605042017,1.2934782608695652,1.543859649122807,1.4538461538461538,1.3897058823529411,1.5078125,1.443201269792374,0.11629262075557431
Motor Turns (Median),1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.31622776601683794
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
