Variable,FED002_040923_00.CSV,FED002_041023_00.CSV,FED004_040923_00.CSV,FED004_041023_00.CSV,FED006_040923_00.CSV,FED006_041023_00.CSV,FED008_040923_00.CSV,FED008_041023_00.CSV,FED010_040923_00.CSV,FED010_041023_00.CSV,Average,STD
Pellets Taken,65.0,45.0,38.0,62.0,89.0,68.0,48.0,86.0,50.0,77.0,62.8,17.554992958636518
Pellets Taken (Night),43.0,22.0,20.0,26.0,56.0,45.0,28.0,57.0,34.0,60.0,39.1,15.169047432189009
Pellets Taken (Day),23.0,23.0,18.0,36.0,33.0,23.0,21.0,29.0,16.0,17.0,23.9,6.756889488185784
Pellets per Hour,2.9353839206191905,2.126012152390451,1.593885445309223,2.679986552038807,3.706531547164573,2.9136266796795964,2.023324434452719,3.6707254899636013,2.2710068130204393,3.6490969406561,2.7569579975294696,0.7542527957803151
Pellets per Hour (Night),3.6673773987206824,1.8838304552590268,1.4506477545181633,1.9228793886229636,4.460374352847471,3.926701570680628,2.028250633828323,4.158644589911437,2.810885291078195,5.077574047954866,3.1387165483421757,1.2775752595762755
Pellets per Hour (Day),2.207587916922175,2.4241004772081856,1.790302527973477,3.7449070997197094,2.8804189700320046,1.9362533030891191,2.1172912115610822,2.982857142857143,1.6127677446451072,1.8310196266156056,2.3527506020623608,0.6670638553311805
Number of Meals,48.0,29.0,27.0,53.0,64.0,43.0,31.0,73.0,32.0,49.0,44.9,15.573838462127583
Number of Meals (Night),30.0,11.0,12.0,22.0,39.0,28.0,17.0,48.0,22.0,34.0,26.3,11.8794874562088
Number of Meals (Day),19.0,18.0,15.0,31.0,25.0,15.0,15.0,25.0,10.0,15.0,18.8,6.338594306135847
Average Pellets per Meal,1.3333333333333333,1.5172413793103448,1.3703703703703705,1.150943396226415,1.375,1.558139534883721,1.5161290322580645,1.1643835616438356,1.53125,1.5510204081632653,1.4067811016189349,0.1546699553323041
Average Pellets per Meal (Night),1.4333333333333333,2.0,1.6666666666666667,1.1818181818181819,1.435897435897436,1.6071428571428572,1.6470588235294117,1.1875,1.5454545454545454,1.7647058823529411,1.5469577726195372,0.25131170674940034
Average Pellets per Meal (Day),1.1578947368421053,1.2222222222222223,1.1333333333333333,1.1290322580645162,1.28,1.4666666666666666,1.3333333333333333,1.12,1.5,1.0666666666666667,1.2409149217128843,0.15072930249103572
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,152.0,79.0,86.0,181.0,295.0,140.0,100.0,151.0,106.0,116.0,140.6,63.189661601668135
Total Pokes (Night),67.0,25.0,35.0,51.0,132.0,78.0,49.0,86.0,57.0,69.0,64.9,30.06456016271946
Total Pokes (Day),85.0,53.0,50.0,129.0,163.0,61.0,50.0,64.0,48.0,46.0,74.9,39.97346341984614
Correct Pokes (%),0.0061184210526315785,0.0074683544303797466,0.006279069767441861,0.0060773480662983425,0.005898305084745763,0.0065,0.0069,0.006887417218543046,0.005754716981132076,0.007931034482758621,0.006581466708393104,0.0007086626462876163
Correct Pokes (%) (Night),77.61194029850746,96.0,68.57142857142857,78.43137254901961,81.06060606060606,65.38461538461539,69.38775510204081,76.74418604651163,66.66666666666666,92.7536231884058,77.2612193867802,10.531189522331383
Correct Pokes (%) (Day),51.76470588235295,67.9245283018868,64.0,55.81395348837209,42.944785276073624,68.85245901639344,72.0,62.5,50.0,65.21739130434783,60.10178232694268,9.491254213614734
Recording Duration (Hours),22.14361111111111,21.16638888888889,23.84111111111111,23.134444444444444,24.011666666666667,23.33861111111111,23.723333333333333,23.42861111111111,22.016666666666666,21.101111111111113,22.790555555555553,1.0954539431504118
Battery Change (V),-0.050000000000000266,-0.04999999999999982,-0.050000000000000266,-0.07999999999999963,-0.05999999999999961,-0.07000000000000028,-0.06000000000000005,-0.06999999999999984,-0.040000000000000036,-0.04999999999999982,-0.05799999999999996,0.012292725943057099
Battery Rate (V/hour),-0.002257987631245543,-0.002362235724878271,-0.0020972176911963573,-0.0034580471639210253,-0.0024987853126952012,-0.002999321582023126,-0.002529155543065901,-0.0029877998174122266,-0.001816805450416353,-0.002369543467958498,-0.00253768993848125,0.00048480552214451707
Motor Turns (Mean),1.4153846153846155,1.4,1.736842105263158,1.596774193548387,1.8876404494382022,1.9558823529411764,1.6041666666666667,1.627906976744186,1.46,1.4675324675324675,1.615212982751886,0.19374603775240828
Motor Turns (Median),1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5,0.5270462766947299
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
