Variable,FED012_041323_00.CSV,FED012_041423_00.CSV,FED014_041323_00.CSV,FED014_041423_00.CSV,FED016_041323_00.CSV,FED016_041423_00.CSV,FED018_041323_00.CSV,FED018_041423_00.CSV,FED020_041323_00.CSV,FED020_041423_00.CSV,Average,STD
Pellets Taken,30.0,37.0,24.0,45.0,45.0,84.0,43.0,47.0,54.0,58.0,46.7,16.60020080199835
Pellets Taken (Night),25.0,24.0,19.0,31.0,27.0,53.0,25.0,33.0,40.0,39.0,31.6,10.057611821677925
Pellets Taken (Day),5.0,13.0,5.0,14.0,18.0,31.0,18.0,14.0,14.0,19.0,15.1,7.430417963419764
Pellets per Hour,1.4311270125223614,1.554912215166231,1.0794602698650675,2.0950262524894603,1.9943861722558724,3.548837591390783,1.9132842240569536,1.986824955085074,2.520550787023831,2.465520498771963,2.05899299786276,0.6861848083879589
Pellets per Hour (Night),2.2469665950966196,1.9107857664152863,1.7310758484549387,2.6594223620245927,2.3251919718680476,4.5886342319809525,2.1046231555316512,2.842037271835602,3.3324847839670455,3.4959288862329125,2.723715087340765,0.874232562657613
Pellets per Hour (Day),0.5083166247776115,1.1570697455929981,0.44414834554741284,1.4252587523330127,1.6436271401395053,2.557873023149209,1.6987809673613843,1.1623616236162362,1.4860681114551082,1.5361466076762413,1.3619650941648718,0.6078786431839733
Number of Meals,18.0,33.0,19.0,35.0,40.0,77.0,39.0,35.0,43.0,53.0,39.2,16.883917396939218
Number of Meals (Night),14.0,23.0,15.0,23.0,23.0,49.0,24.0,26.0,31.0,35.0,26.3,10.165846961490441
Number of Meals (Day),4.0,11.0,5.0,12.0,17.0,28.0,16.0,9.0,12.0,18.0,13.2,7.004760286167305
Average Pellets per Meal,1.6111111111111112,1.0909090909090908,1.2105263157894737,1.2571428571428571,1.1,1.077922077922078,1.0769230769230769,1.3142857142857143,1.2325581395348837,1.0754716981132075,1.2046850081731495,0.1679117795879532
Average Pellets per Meal (Night),1.7857142857142858,1.0869565217391304,1.2666666666666666,1.3478260869565217,1.173913043478261,1.0816326530612246,1.0833333333333333,1.2692307692307692,1.2903225806451613,1.1142857142857143,1.2499881655111067,0.21232819407071313
Average Pellets per Meal (Day),1.0,1.0909090909090908,1.0,1.0833333333333333,1.0,1.0714285714285714,1.0625,1.4444444444444444,1.0833333333333333,1.0,1.0835948773448774,0.13283719004422617
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,108.0,175.0,112.0,90.0,115.0,137.0,109.0,110.0,120.0,145.0,122.1,24.149764204047855
Total Pokes (Night),41.0,85.0,51.0,51.0,59.0,84.0,64.0,62.0,66.0,96.0,65.9,17.412958137867072
Total Pokes (Day),66.0,89.0,60.0,38.0,55.0,52.0,44.0,47.0,53.0,49.0,55.3,14.236494574781315
Correct Pokes (%),0.005555555555555556,0.003142857142857143,0.004910714285714286,0.0071111111111111115,0.005739130434782609,0.008102189781021897,0.006146788990825688,0.0057272727272727275,0.00675,0.006689655172413793,0.0059875275201554815,0.0013499653512759483
Correct Pokes (%) (Night),65.85365853658537,38.82352941176471,54.90196078431373,78.43137254901961,61.016949152542374,82.14285714285714,56.25,61.29032258064516,84.84848484848484,64.58333333333334,64.81424683395463,13.992719857285012
Correct Pokes (%) (Day),51.515151515151516,25.842696629213485,45.0,65.78947368421053,58.18181818181818,84.61538461538461,72.72727272727273,57.446808510638306,49.056603773584904,77.55102040816327,58.77262300454375,17.280975188224517
Recording Duration (Hours),20.9625,23.795555555555556,22.233333333333334,21.479444444444443,22.563333333333333,23.669722222222223,22.474444444444444,23.655833333333334,21.42388888888889,23.524444444444445,22.578249999999997,1.0546274269966924
Battery Change (V),-0.04999999999999982,-0.0600000000000005,-0.04999999999999982,-0.03000000000000025,-0.040000000000000036,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.03000000000000025,-0.050000000000000266,-0.04600000000000004,0.009660917830792917
Battery Rate (V/hour),-0.0023852116875372606,-0.002521479267837152,-0.0022488755622188826,-0.0013966841683263184,-0.0017727877086718882,-0.002112403328208792,-0.0022247490977406357,-0.002113643569239433,-0.0014003059927910288,-0.0021254487058379105,-0.0020301589088409303,0.00038589280934805996
Motor Turns (Mean),1.6,1.6486486486486487,1.5416666666666667,1.711111111111111,1.4222222222222223,1.2976190476190477,1.744186046511628,1.6170212765957446,1.1481481481481481,1.1551724137931034,1.4885795581316321,0.22114102969137647
Motor Turns (Median),1.0,1.0,1.5,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.35,0.4743416490252569
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
