Variable,FED002_041723_00.CSV,FED002_041823_00.CSV,FED004_041723_00.CSV,FED004_041823_00.CSV,FED006_041723_00.CSV,FED006_041823_00.CSV,FED008_041723_00.CSV,FED008_041823_00.CSV,FED010_041723_00.CSV,FED010_041823_00.CSV,Average,STD
Pellets Taken,21.0,33.0,33.0,19.0,36.0,25.0,27.0,22.0,45.0,65.0,32.6,13.890044396377332
Pellets Taken (Night),10.0,25.0,20.0,10.0,18.0,18.0,13.0,16.0,27.0,49.0,20.6,11.47170431975999
Pellets Taken (Day),11.0,8.0,13.0,9.0,18.0,7.0,14.0,6.0,18.0,16.0,12.0,4.47213595499958
Pellets per Hour,0.924397490921096,1.5567261577168017,1.4839612271410012,0.8438089833582118,1.596255696514349,1.2705583398037694,1.2247829538438275,1.0020242914979758,2.002521693985018,3.07684216062694,1.498187899540899,0.6574309660976667
Pellets per Hour (Night),0.8218802794392951,2.160138248847926,1.7187462700818792,0.72,1.5620103651922383,1.663073606405913,1.0908073839269066,1.3743736578382246,2.325358851674641,4.058904739990796,1.749529340339782,0.964486013984895
Pellets per Hour (Day),1.0426265764461178,0.8311688311688312,1.2262544215904625,1.0431087215479218,1.6320362674726108,0.7906874588183616,1.3824505581918425,0.581739833019122,1.6573737787099085,1.7673048600883654,1.1954751307053544,0.40642803925031645
Number of Meals,17.0,27.0,31.0,18.0,33.0,22.0,25.0,20.0,35.0,59.0,28.7,12.338287293353698
Number of Meals (Night),9.0,21.0,21.0,11.0,16.0,16.0,13.0,15.0,22.0,45.0,18.9,10.148344145174073
Number of Meals (Day),8.0,7.0,11.0,8.0,17.0,6.0,13.0,5.0,13.0,15.0,10.3,4.083843505544474
Average Pellets per Meal,1.1764705882352942,1.1851851851851851,1.032258064516129,1.0,1.0606060606060606,1.0909090909090908,1.04,1.05,1.2571428571428571,1.0847457627118644,1.0977317609306483,0.08185548496776056
Average Pellets per Meal (Night),1.1111111111111112,1.2380952380952381,1.0,1.0,1.125,1.125,1.0769230769230769,1.0666666666666667,1.2272727272727273,1.0888888888888888,1.1058957708957708,0.08031992268251079
Average Pellets per Meal (Day),1.25,1.0,1.0909090909090908,1.0,1.0,1.0,1.0,1.0,1.3076923076923077,1.0666666666666667,1.0715268065268064,0.11485383123689936
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,86.0,62.0,78.0,65.0,123.0,42.0,57.0,96.0,125.0,100.0,83.4,27.84161553422422
Total Pokes (Night),56.0,43.0,44.0,43.0,73.0,23.0,27.0,55.0,73.0,67.0,50.4,17.63330182731905
Total Pokes (Day),29.0,18.0,33.0,21.0,50.0,18.0,29.0,40.0,51.0,32.0,32.1,11.929887770730376
Correct Pokes (%),0.004883720930232558,0.006129032258064516,0.006282051282051282,0.008,0.003983739837398374,0.007619047619047619,0.005789473684210527,0.0046875,0.00464,0.0078,0.005981456561100487,0.0014484489955866838
Correct Pokes (%) (Night),48.214285714285715,67.44186046511628,68.18181818181817,83.72093023255815,35.61643835616438,95.65217391304348,51.85185185185185,41.81818181818181,47.94520547945205,89.55223880597015,62.99949848184419,21.121864448487
Correct Pokes (%) (Day),55.172413793103445,50.0,60.60606060606061,80.95238095238095,50.0,61.111111111111114,65.51724137931035,57.49999999999999,47.05882352941176,59.375,58.72930313713782,9.731493286266048
Recording Duration (Hours),22.7175,21.198333333333334,22.23777777777778,22.516944444444444,22.552777777777777,19.676388888888887,22.044722222222223,21.955555555555556,22.471666666666668,21.125555555555554,21.849722222222226,0.9399315107261638
Battery Change (V),-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.03000000000000025,-0.040000000000000036,-0.03000000000000025,-0.029999999999999805,-0.050000000000000266,-0.040000000000000036,-0.029999999999999805,-0.037000000000000054,0.0067494855771055825
Battery Rate (V/hour),-0.001760757125563994,-0.0018869407972324885,-0.0017987408813830332,-0.0013323299737235032,-0.0017736174405715006,-0.0015246700077645359,-0.001360869948715355,-0.002277327935222684,-0.00178001928354224,-0.0014200809972124244,-0.001691535439093176,0.0002890765788599443
Motor Turns (Mean),1.619047619047619,1.393939393939394,1.606060606060606,1.736842105263158,1.5277777777777777,1.92,1.4444444444444444,1.5,1.2666666666666666,1.523076923076923,1.553785553627659,0.18229109153172232
Motor Turns (Median),1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.3,0.4830458915396479
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
