Variable,FED001_041923_00.CSV,FED001_042023_00.CSV,FED003_041923_00.CSV,FED003_042023_00.CSV,FED005_041923_00.CSV,FED005_042023_00.CSV,FED007_041923_00.CSV,FED007_042023_00.CSV,FED009_041923_00.CSV,FED009_042023_00.CSV,Average,STD
Pellets Taken,167.0,190.0,196.0,151.0,218.0,199.0,193.0,208.0,175.0,165.0,186.2,21.054426824040803
Pellets Taken (Night),100.0,118.0,122.0,80.0,143.0,113.0,113.0,123.0,99.0,95.0,110.6,17.721299174847324
Pellets Taken (Day),67.0,72.0,74.0,71.0,75.0,86.0,80.0,85.0,76.0,70.0,75.6,6.310485101972924
Pellets per Hour,7.382484404931479,8.180350415595289,8.530805687203792,6.519392674677988,9.489607138970507,8.508212491538105,8.393534514001304,8.90093431281649,7.640345877245109,7.046597703331119,8.059226522031118,0.9027621284369439
Pellets per Hour (Night),8.31658465590131,10.067782149120728,10.278492862157735,6.522625356706074,12.260061919504643,9.519352272195443,9.640495769841458,10.245493880006478,8.205175430518464,7.80447730540152,9.286054160135384,1.6152438926454409
Pellets per Hour (Day),6.32257726283782,6.2576953719127975,6.662998349257165,6.515754053227287,6.632114170617278,7.466177924614755,7.0969172765579955,7.480382330652455,7.011609133543476,6.2260654725138975,6.767229134573492,0.47235704776191034
Number of Meals,81.0,122.0,108.0,115.0,137.0,105.0,99.0,115.0,56.0,88.0,102.6,23.013039781828038
Number of Meals (Night),47.0,73.0,56.0,58.0,96.0,63.0,55.0,69.0,27.0,47.0,59.1,18.31483915663289
Number of Meals (Day),34.0,49.0,52.0,57.0,41.0,42.0,44.0,46.0,29.0,41.0,43.5,8.209073570683167
Average Pellets per Meal,2.049382716049383,1.5491803278688525,1.8055555555555556,1.3043478260869565,1.583941605839416,1.8857142857142857,1.9393939393939394,1.8,3.107142857142857,1.8636363636363635,1.8888295477287609,0.4805122472432023
Average Pellets per Meal (Night),2.127659574468085,1.6164383561643836,2.1785714285714284,1.3793103448275863,1.4895833333333333,1.7936507936507937,2.0545454545454547,1.7826086956521738,3.6666666666666665,2.021276595744681,2.0110311243624586,0.6421243279893769
Average Pellets per Meal (Day),1.9411764705882353,1.4489795918367347,1.4038461538461537,1.2280701754385965,1.8048780487804879,2.0238095238095237,1.7954545454545454,1.826086956521739,2.586206896551724,1.6829268292682926,1.7741435192096031,0.3805179571040197
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,256.0,245.0,301.0,228.0,327.0,334.0,275.0,260.0,194.0,246.0,266.6,43.782797230571425
Total Pokes (Night),146.0,140.0,165.0,112.0,212.0,202.0,132.0,148.0,106.0,123.0,148.6,35.443852311320036
Total Pokes (Day),109.0,104.0,135.0,115.0,114.0,131.0,142.0,111.0,87.0,122.0,117.0,16.165807537309522
Correct Pokes (%),0.0080859375,0.008489795918367347,0.00787375415282392,0.007412280701754386,0.008134556574923547,0.008502994011976048,0.00810909090909091,0.008423076923076924,0.00922680412371134,0.007398373983739838,0.008165666479946427,0.0005439760039497604
Correct Pokes (%) (Night),76.02739726027397,86.42857142857143,87.87878787878788,75.0,82.0754716981132,87.62376237623762,87.12121212121212,85.13513513513513,95.28301886792453,78.04878048780488,84.06221372540608,6.289816565445682
Correct Pokes (%) (Day),88.9908256880734,85.57692307692307,69.62962962962963,74.78260869565217,82.45614035087719,83.20610687022901,77.46478873239437,85.58558558558559,91.95402298850574,72.1311475409836,81.17777791588539,7.3905831737453385
Recording Duration (Hours),22.621111111111112,23.226388888888888,22.975555555555555,23.161666666666665,22.9725,23.389166666666668,22.99388888888889,23.368333333333332,22.904722222222222,23.415555555555557,23.10288888888889,0.25502922181203475
Battery Change (V),-0.04999999999999982,0.4100000000000006,0.3600000000000003,0.009999999999999787,-0.06999999999999984,0.43000000000000016,-0.08000000000000007,0.47999999999999954,-0.040000000000000036,0.3899999999999997,0.18400000000000002,0.24541121952076003
Battery Rate (V/hour),-0.0022103246721351657,0.017652335107337228,0.015668826772415143,0.0004317478592501887,-0.0030471215583850186,0.018384579755584857,-0.0034791852907777457,0.02054061764496111,-0.0017463647719417408,0.016655594571509905,0.007885070541781874,0.010552533558868505
Motor Turns (Mean),1.407185628742515,1.5315789473684212,2.1989795918367347,2.205298013245033,1.889908256880734,1.6834170854271358,1.4145077720207253,1.4807692307692308,1.5314285714285714,1.5818181818181818,1.6924891279537282,0.30297411705275895
Motor Turns (Median),1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.4,0.5163977794943223
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
