Variable,FED002_041923_00.CSV,FED002_042023_00.CSV,FED004_041923_00.CSV,FED004_042023_00.CSV,FED006_041923_00.CSV,FED006_042023_00.CSV,FED008_041923_00.CSV,FED008_042023_00.CSV,FED010_041923_00.CSV,FED010_042023_00.CSV,Average,STD
Pellets Taken,35.0,30.0,2.0,22.0,21.0,14.0,26.0,12.0,21.0,32.0,21.5,10.069204977995476
Pellets Taken (Night),20.0,18.0,1.0,11.0,15.0,9.0,15.0,7.0,12.0,16.0,12.4,5.660781257427675
Pellets Taken (Day),15.0,12.0,1.0,11.0,6.0,5.0,11.0,5.0,9.0,16.0,9.1,4.794672969962487
Pellets per Hour,1.5331824487113968,1.2997954025755205,0.08757739043703551,0.9400370317618573,0.913330272790973,0.7610304110168212,1.1546717327477733,0.5148557331331116,0.9188249735655513,1.3805831525712164,0.9503888549311256,0.42959904529513643
Pellets per Hour (Night),1.7250053906418459,1.5440335493709494,0.12785907089075155,0.9288797147682492,1.3370970138166691,0.9492558303058712,1.2675163720864728,0.5865102639296187,1.0422195416164053,1.3390055094497524,1.0847382256876585,0.4703359212492541
Pellets per Hour (Day),1.335212521326311,1.0505325616458343,0.06659637049780787,0.9514656415185007,0.5095781825044824,0.5608524957936063,1.0296679580852337,0.4396570674873599,0.7935536016067011,1.424825607282442,0.8161942007748278,0.42452569177142335
Number of Meals,33.0,27.0,1.0,20.0,17.0,12.0,22.0,11.0,15.0,30.0,18.8,9.704523572941527
Number of Meals (Night),19.0,18.0,1.0,11.0,13.0,8.0,13.0,8.0,10.0,17.0,11.8,5.473166867139678
Number of Meals (Day),14.0,9.0,,9.0,4.0,4.0,9.0,4.0,6.0,14.0,8.11111111111111,3.982601048449507
Average Pellets per Meal,1.0303030303030303,1.0740740740740742,1.0,1.05,1.1764705882352942,1.0833333333333333,1.1363636363636365,1.0,1.3333333333333333,1.0333333333333334,1.0917211328976035,0.10202459202258313
Average Pellets per Meal (Night),1.0526315789473684,1.0,1.0,1.0,1.1538461538461537,1.125,1.1538461538461537,1.0,1.2,1.0,1.0685323886639675,0.08080530665268543
Average Pellets per Meal (Day),1.0,1.2222222222222223,,1.1111111111111112,1.25,1.0,1.1111111111111112,1.0,1.5,1.0714285714285714,1.1406525573192239,0.16341199388602964
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,31.622776601683793
Total Pokes,114.0,96.0,63.0,107.0,112.0,146.0,87.0,79.0,77.0,137.0,101.8,26.594903438232087
Total Pokes (Night),58.0,41.0,19.0,53.0,67.0,87.0,40.0,49.0,30.0,64.0,50.8,19.617452547271384
Total Pokes (Day),55.0,54.0,43.0,53.0,44.0,58.0,46.0,29.0,46.0,72.0,50.0,11.333333333333334
Correct Pokes (%),0.004210526315789474,0.005,0.004603174603174603,0.00485981308411215,0.005892857142857143,0.0042465753424657535,0.005402298850574713,0.002911392405063291,0.005844155844155844,0.0048175182481751825,0.004778831183636816,0.0008785153090174341
Correct Pokes (%) (Night),41.37931034482759,65.85365853658537,47.368421052631575,50.943396226415096,53.73134328358209,41.37931034482759,52.5,32.6530612244898,60.0,45.3125,49.11210010133591,9.67795016739508
Correct Pokes (%) (Day),43.63636363636363,42.592592592592595,46.51162790697674,50.943396226415096,70.45454545454545,46.55172413793103,60.86956521739131,24.137931034482758,60.86956521739131,52.77777777777778,49.93450892018677,12.699597502436758
Recording Duration (Hours),22.828333333333333,23.080555555555556,22.836944444444445,23.403333333333332,22.99277777777778,18.39611111111111,22.517222222222223,23.3075,22.85527777777778,23.17861111111111,22.53966666666667,1.478831291603631
Battery Change (V),0.31999999999999984,-0.04999999999999982,0.34999999999999964,-0.08999999999999986,0.3500000000000001,-0.07000000000000028,0.3599999999999999,-0.08999999999999986,0.3700000000000001,-0.07000000000000028,0.13799999999999996,0.2240932345649412
Battery Rate (V/hour),0.014017668102504191,-0.0021663256709591933,0.015326043326481197,-0.003845606039025774,0.015222171213182888,-0.0038051520550841213,0.015987762453430702,-0.003861417998498331,0.016188820962821624,-0.003020025646249548,0.006004393864860363,0.00987841684265911
Motor Turns (Mean),1.5142857142857142,1.6,1.5,1.6363636363636365,1.7142857142857142,1.7857142857142858,1.3461538461538463,1.3333333333333333,1.4285714285714286,1.34375,1.5202457958707958,0.1609740286181697
Motor Turns (Median),1.0,2.0,1.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.35,0.4743416490252569
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
