,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEGA_MEAL_FREQUENCY,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
0,FEDXDF1,F,PR,0.0,MIX,210,4.666666666666667,1.0,42,1.9326882517607662,14,0.6442294172535887,10,7.4,0.46016386946684906,2.0,1.0,0.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
1,FEDXDF1,F,PR,0.0,MIX,296,3.2714285714285714,1.0,70,1.4711119154227403,67,1.408064261904623,5,7.6,0.10507942253019574,7.0,3.0,5.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,8.0,5.0,5.0,4.0,0.0,0.0,6.0,2.0
2,FEDXDF2,F,PR,0.0,MIX,350,3.3870967741935485,1.0,93,4.203178748085469,35,1.5818414643332412,10,6.9,0.45195470409521177,2.0,1.0,8.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,2.0
3,FEDXDF2,F,PR,0.0,MIX,330,3.011904761904762,1.0,84,1.7277630496389067,77,1.5837827955023311,5,6.6,0.10284303866898255,6.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,8.0,8.0,7.0,9.0,7.0,4.0,4.0,3.0,4.0,3.0
4,FEDXDF3,F,PR,0.0,MIX,291,3.652173913043478,1.0,69,2.92362557819286,39,1.652484022456834,8,7.625,0.338971081529607,4.0,5.0,0.0,4.0,4.0,0.0,5.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,6.0,5.0,5.0,7.0,4.0,4.0,3.0,1.0,0.0,0.0
5,FEDXDF3,F,PR,0.0,MIX,375,4.144736842105263,1.0,76,1.5657637962904674,60,1.2361293128608952,18,8.0,0.37083879385826857,5.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,6.0,5.0,6.0,6.0,7.0,6.0,4.0,4.0,4.0,3.0,1.0,4.0
6,FEDXDF4,F,PR,0.0,MIX,294,4.257575757575758,1.0,66,2.779630084582178,13,0.5475028954480048,16,7.25,0.6738497174744674,4.0,3.0,7.0,6.0,0.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,2.0,0.0,3.0,3.0
7,FEDXDF4,F,PR,0.0,MIX,312,4.928571428571429,1.0,56,1.1507243398746532,36,0.7397513613479914,22,7.181818181818182,0.45207027637932806,3.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0
8,FEDXDF5,F,PR,0.0,MIX,227,5.538461538461538,1.0,39,2.3727438653417154,11,0.6692354491989454,19,8.0,1.1559521395254513,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
9,FEDXDF5,F,PR,0.0,MIX,363,4.920634920634921,1.0,63,1.362612274324852,53,1.1463246117336057,24,8.416666666666666,0.5190903902189913,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0,6.0,6.0,4.0,6.0,6.0,3.0,4.0,4.0,3.0,0.0,3.0
10,FEDXDF6,F,PR,0.0,MIX,296,3.448717948717949,1.0,78,3.5709289756469764,27,1.236090799262415,7,8.857142857142858,0.32046798499395945,7.0,3.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,5.0,1.0,3.0,6.0,3.0,4.0,5.0,6.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0
11,FEDXDF6,F,PR,0.0,MIX,328,4.412698412698413,1.0,63,1.44804469273743,50,1.1492418196328809,17,8.294117647058824,0.3907422186751795,4.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,5.0,5.0,7.0,4.0,3.0,6.0,8.0,1.0,1.0
