,MOUSEID,SEX,MODE,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
0,FEDXDF1,F,FF,PR,0.0,MIX,194,3.730769230769231,0,52,2.642201834862385,0,0.0,9,7.555555555555555,0.0,0.0,0.0,3.0,5.0,4.0,2.0,5.0,0.0,0.0,1.0,3.0,1.0,3.0,5.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0
1,FEDXDF1,F,FR,PR,0.0,MIX,111,2.0555555555555554,0,54,2.4802561910715877,0,0.0,2,8.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,4.0,7.0
2,FEDXDF2,F,FF,PR,0.0,MIX,344,2.7301587301587302,0,126,5.754738524777347,0,0.0,10,6.9,0.0,1.0,11.0,14.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,10.0,7.0,8.0,7.0,8.0,11.0,9.0,6.0,8.0,5.0
3,FEDXDF2,F,FR,PR,0.0,MIX,133,2.078125,0,64,2.9247857822913357,0,0.0,3,6.333333333333333,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,7.0,0.0,0.0,4.0,4.0
4,FEDXDF3,F,FF,PR,0.0,MIX,256,2.752688172043011,0,93,4.244206683231074,0,0.0,7,7.857142857142857,0.0,0.0,2.0,9.0,5.0,0.0,6.0,0.0,2.0,6.0,0.0,1.0,3.0,7.0,8.0,9.0,8.0,9.0,4.0,5.0,4.0,4.0,0.0,1.0
5,FEDXDF3,F,FR,PR,0.0,MIX,154,2.3333333333333335,0,66,3.013507514744118,0,0.0,6,7.5,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,3.0,2.0,0.0,1.0,7.0
6,FEDXDF4,F,FF,PR,0.0,MIX,274,3.859154929577465,0,71,3.2411869135176263,0,0.0,16,7.25,0.0,1.0,9.0,8.0,0.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,0.0,3.0,3.0
7,FEDXDF4,F,FR,PR,0.0,MIX,147,3.340909090909091,0,44,2.0015163002274448,0,0.0,10,8.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0
8,FEDXDF5,F,FF,PR,0.0,MIX,213,4.630434782608695,0,46,3.1499657612417256,0,0.0,18,8.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
9,FEDXDF5,F,FR,PR,0.0,MIX,168,3.111111111111111,0,54,2.677354047018965,0,0.0,12,8.25,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,3.0,6.0,6.0,4.0,4.0,4.0,2.0,6.0,2.0,4.0,1.0,0.0
10,FEDXDF6,F,FF,PR,0.0,MIX,264,2.869565217391304,0,92,4.593938553297733,0,0.0,7,8.857142857142858,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,6.0,1.0,4.0,9.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,5.0,6.0,4.0
11,FEDXDF6,F,FR,PR,0.0,MIX,109,2.725,0,40,2.6895276517061695,0,0.0,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,7.0,0.0,0.0
12,FEDXDF7,F,FF,PR,0.0,MIX,235,2.2815533980582523,0,103,5.0690362269309635,0,0.0,3,8.333333333333334,0.0,0.0,0.0,7.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,2.0,6.0,8.0,7.0,10.0,9.0,7.0,6.0,0.0,7.0,4.0,0.0,5.0
13,FEDXDF7,F,FR,PR,0.0,MIX,148,2.0555555555555554,0,72,3.3562087271785574,0,0.0,5,6.4,0.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,5.0,5.0,4.0,0.0,8.0,4.0,1.0,5.0,3.0,4.0,6.0
