MOUSE ID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,GROUP_KEY,MEAL_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,HOURLY_MEALS,TOTAL_PELLETS,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
FEDXDF1,F,PR,1.0,,FEDXDF1_F_PR_1.0,1.6090909090909091,110,4.912115310666485,"[7.0, 0.0, 4.0, 10.0, 13.0, 0.0, 0.0, 7.0, 0.0, 0.0, 3.0, 0.0, 5.0, 5.0, 4.0, 6.0, 7.0, 9.0, 9.0, 6.0, 9.0, 6.0, 0.0, 0.0]",177,7.0,0.0,4.0,10.0,13.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,5.0,5.0,4.0,6.0,7.0,9.0,9.0,6.0,9.0,6.0,0.0,0.0
FEDXDF1,F,PR,2.0,,FEDXDF1_F_PR_2.0,1.528,125,5.6104129263913824,"[7.0, 1.0, 0.0, 11.0, 14.0, 2.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 5.0, 9.0, 8.0, 9.0, 9.0, 11.0, 9.0, 9.0, 3.0, 0.0, 0.0, 9.0]",191,7.0,1.0,0.0,11.0,14.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,3.0,0.0,0.0,9.0
FEDXDF1,F,PR,3.0,,FEDXDF1_F_PR_3.0,1.3132530120481927,166,7.324157709607443,"[9.0, 0.0, 4.0, 1.0, 9.0, 17.0, 8.0, 2.0, 0.0, 4.0, 1.0, 6.0, 11.0, 14.0, 11.0, 13.0, 11.0, 12.0, 12.0, 10.0, 4.0, 0.0, 0.0, 7.0]",218,9.0,0.0,4.0,1.0,9.0,17.0,8.0,2.0,0.0,4.0,1.0,6.0,11.0,14.0,11.0,13.0,11.0,12.0,12.0,10.0,4.0,0.0,0.0,7.0
FEDXDF1,F,PR,4.0,,FEDXDF1_F_PR_4.0,1.0879120879120878,91,3.984238178633976,"[0.0, 0.0, 0.0, 2.0, 3.0, 7.0, 4.0, 0.0, 0.0, 0.0, 4.0, 1.0, 8.0, 7.0, 7.0, 7.0, 6.0, 5.0, 6.0, 7.0, 4.0, 4.0, 5.0, 4.0]",99,0.0,0.0,0.0,2.0,3.0,7.0,4.0,0.0,0.0,0.0,4.0,1.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,4.0,4.0,5.0,4.0
FEDXDF2,F,PR,1.0,,FEDXDF2_F_PR_1.0,1.7333333333333334,90,3.763809346793211,"[3.0, 0.0, 7.0, 9.0, 4.0, 2.0, 0.0, 1.0, 2.0, 5.0, 0.0, 3.0, 8.0, 5.0, 5.0, 5.0, 4.0, 6.0, 6.0, 4.0, 5.0, 6.0, 0.0, 0.0]",156,3.0,0.0,7.0,9.0,4.0,2.0,0.0,1.0,2.0,5.0,0.0,3.0,8.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,0.0,0.0
FEDXDF2,F,PR,2.0,,FEDXDF2_F_PR_2.0,1.4035087719298245,114,5.194476438796562,"[8.0, 1.0, 0.0, 6.0, 8.0, 3.0, 0.0, 0.0, 5.0, 1.0, 1.0, 7.0, 1.0, 11.0, 8.0, 8.0, 4.0, 4.0, 13.0, 8.0, 9.0, 2.0, 0.0, 6.0]",160,8.0,1.0,0.0,6.0,8.0,3.0,0.0,0.0,5.0,1.0,1.0,7.0,1.0,11.0,8.0,8.0,4.0,4.0,13.0,8.0,9.0,2.0,0.0,6.0
FEDXDF2,F,PR,3.0,,FEDXDF2_F_PR_3.0,1.353448275862069,116,5.166526451229772,"[5.0, 1.0, 9.0, 0.0, 4.0, 8.0, 2.0, 0.0, 2.0, 3.0, 3.0, 4.0, 5.0, 12.0, 9.0, 3.0, 11.0, 11.0, 9.0, 9.0, 0.0, 0.0, 6.0, 0.0]",157,5.0,1.0,9.0,0.0,4.0,8.0,2.0,0.0,2.0,3.0,3.0,4.0,5.0,12.0,9.0,3.0,11.0,11.0,9.0,9.0,0.0,0.0,6.0,0.0
FEDXDF2,F,PR,4.0,,FEDXDF2_F_PR_4.0,1.0598290598290598,117,5.11251911732576,"[5.0, 5.0, 4.0, 5.0, 2.0, 7.0, 1.0, 0.0, 2.0, 2.0, 5.0, 7.0, 7.0, 11.0, 8.0, 7.0, 5.0, 6.0, 6.0, 5.0, 4.0, 4.0, 5.0, 4.0]",124,5.0,5.0,4.0,5.0,2.0,7.0,1.0,0.0,2.0,2.0,5.0,7.0,7.0,11.0,8.0,7.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0
FEDXDF3,F,PR,1.0,,FEDXDF3_F_PR_1.0,1.5748031496062993,127,5.292953148334665,"[3.0, 9.0, 9.0, 6.0, 7.0, 11.0, 0.0, 0.0, 4.0, 0.0, 1.0, 5.0, 8.0, 8.0, 7.0, 5.0, 8.0, 9.0, 7.0, 8.0, 6.0, 5.0, 1.0, 0.0]",200,3.0,9.0,9.0,6.0,7.0,11.0,0.0,0.0,4.0,0.0,1.0,5.0,8.0,8.0,7.0,5.0,8.0,9.0,7.0,8.0,6.0,5.0,1.0,0.0
FEDXDF3,F,PR,2.0,,FEDXDF3_F_PR_2.0,1.7431192660550459,109,4.802702438069128,"[1.0, 6.0, 0.0, 6.0, 10.0, 4.0, 0.0, 0.0, 5.0, 0.0, 2.0, 3.0, 6.0, 8.0, 9.0, 10.0, 5.0, 3.0, 2.0, 7.0, 6.0, 6.0, 7.0, 3.0]",190,1.0,6.0,0.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,2.0,3.0,6.0,8.0,9.0,10.0,5.0,3.0,2.0,7.0,6.0,6.0,7.0,3.0
FEDXDF3,F,PR,3.0,,FEDXDF3_F_PR_3.0,1.5436893203883495,103,4.578286476275141,"[5.0, 0.0, 7.0, 0.0, 6.0, 9.0, 4.0, 0.0, 0.0, 3.0, 2.0, 7.0, 8.0, 6.0, 8.0, 5.0, 2.0, 3.0, 9.0, 8.0, 9.0, 2.0, 0.0, 0.0]",159,5.0,0.0,7.0,0.0,6.0,9.0,4.0,0.0,0.0,3.0,2.0,7.0,8.0,6.0,8.0,5.0,2.0,3.0,9.0,8.0,9.0,2.0,0.0,0.0
FEDXDF3,F,PR,4.0,,FEDXDF3_F_PR_4.0,1.0776699029126213,103,4.540890053638345,"[4.0, 3.0, 3.0, 2.0, 2.0, 8.0, 8.0, 1.0, 0.0, 0.0, 0.0, 8.0, 8.0, 8.0, 9.0, 6.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 3.0, 3.0]",111,4.0,3.0,3.0,2.0,2.0,8.0,8.0,1.0,0.0,0.0,0.0,8.0,8.0,8.0,9.0,6.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0
FEDXDF4,F,PR,1.0,,FEDXDF4_F_PR_1.0,2.1149425287356323,87,3.6472889882615984,"[2.0, 4.0, 8.0, 11.0, 4.0, 0.0, 0.0, 5.0, 0.0, 0.0, 6.0, 1.0, 6.0, 7.0, 6.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 2.0, 0.0, 1.0]",184,2.0,4.0,8.0,11.0,4.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,6.0,7.0,6.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,0.0,1.0
FEDXDF4,F,PR,2.0,,FEDXDF4_F_PR_2.0,1.7448979591836735,98,4.372885137396348,"[6.0, 9.0, 0.0, 4.0, 10.0, 0.0, 0.0, 3.0, 0.0, 0.0, 3.0, 2.0, 10.0, 8.0, 6.0, 3.0, 0.0, 11.0, 7.0, 7.0, 9.0, 0.0, 0.0, 0.0]",171,6.0,9.0,0.0,4.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,10.0,8.0,6.0,3.0,0.0,11.0,7.0,7.0,9.0,0.0,0.0,0.0
FEDXDF4,F,PR,3.0,,FEDXDF4_F_PR_3.0,1.425,120,5.328071040947212,"[9.0, 0.0, 10.0, 0.0, 7.0, 10.0, 0.0, 4.0, 0.0, 2.0, 4.0, 3.0, 9.0, 13.0, 10.0, 7.0, 0.0, 7.0, 10.0, 10.0, 5.0, 0.0, 0.0, 0.0]",171,9.0,0.0,10.0,0.0,7.0,10.0,0.0,4.0,0.0,2.0,4.0,3.0,9.0,13.0,10.0,7.0,0.0,7.0,10.0,10.0,5.0,0.0,0.0,0.0
FEDXDF4,F,PR,4.0,,FEDXDF4_F_PR_4.0,1.1941747572815533,103,4.526146184268346,"[6.0, 2.0, 9.0, 5.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 7.0, 2.0, 7.0, 9.0, 5.0, 7.0, 10.0, 0.0, 10.0, 8.0, 6.0, 3.0, 0.0, 0.0]",123,6.0,2.0,9.0,5.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,2.0,7.0,9.0,5.0,7.0,10.0,0.0,10.0,8.0,6.0,3.0,0.0,0.0
FEDXDF5,F,PR,1.0,,FEDXDF5_F_PR_1.0,1.9466666666666668,75,3.420492550927334,"[4.0, 0.0, 2.0, 3.0, 4.0, 6.0, 1.0, 0.0, 0.0, 3.0, 1.0, 2.0, 3.0, 7.0, 2.0, 6.0, 5.0, 3.0, 4.0, 4.0, 3.0, 5.0, 3.0, 4.0]",146,4.0,0.0,2.0,3.0,4.0,6.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,7.0,2.0,6.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0
FEDXDF5,F,PR,2.0,,FEDXDF5_F_PR_2.0,1.9157894736842105,95,4.33833976050335,"[6.0, 2.0, 0.0, 5.0, 7.0, 7.0, 2.0, 0.0, 4.0, 0.0, 1.0, 2.0, 3.0, 6.0, 6.0, 8.0, 6.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 3.0]",182,6.0,2.0,0.0,5.0,7.0,7.0,2.0,0.0,4.0,0.0,1.0,2.0,3.0,6.0,6.0,8.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0
FEDXDF5,F,PR,3.0,,FEDXDF5_F_PR_3.0,1.6132075471698113,106,4.691476413528566,"[6.0, 4.0, 7.0, 1.0, 4.0, 9.0, 5.0, 2.0, 0.0, 0.0, 1.0, 4.0, 6.0, 8.0, 6.0, 6.0, 5.0, 0.0, 0.0, 9.0, 7.0, 7.0, 3.0, 6.0]",171,6.0,4.0,7.0,1.0,4.0,9.0,5.0,2.0,0.0,0.0,1.0,4.0,6.0,8.0,6.0,6.0,5.0,0.0,0.0,9.0,7.0,7.0,3.0,6.0
FEDXDF5,F,PR,4.0,,FEDXDF5_F_PR_4.0,1.1573033707865168,89,3.9812617269530426,"[3.0, 2.0, 3.0, 2.0, 1.0, 8.0, 7.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 9.0, 6.0, 6.0, 7.0, 7.0, 5.0, 6.0, 5.0, 1.0, 2.0, 3.0]",103,3.0,2.0,3.0,2.0,1.0,8.0,7.0,1.0,0.0,0.0,1.0,2.0,2.0,9.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,1.0,2.0,3.0
FEDXDF6,F,PR,1.0,,FEDXDF6_F_PR_1.0,2.131868131868132,91,4.307295843906544,"[0.0, 0.0, 2.0, 8.0, 9.0, 10.0, 2.0, 0.0, 2.0, 0.0, 0.0, 3.0, 2.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 3.0, 6.0, 6.0, 7.0]",194,0.0,0.0,2.0,8.0,9.0,10.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,6.0,6.0,7.0
FEDXDF6,F,PR,2.0,,FEDXDF6_F_PR_2.0,2.1491228070175437,114,5.1393150084528205,"[6.0, 0.0, 6.0, 10.0, 7.0, 2.0, 0.0, 6.0, 0.0, 0.0, 6.0, 5.0, 9.0, 4.0, 7.0, 6.0, 6.0, 6.0, 4.0, 4.0, 5.0, 5.0, 4.0, 6.0]",245,6.0,0.0,6.0,10.0,7.0,2.0,0.0,6.0,0.0,0.0,6.0,5.0,9.0,4.0,7.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0
