MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDM11,M,NR,1,CAS20,84,10.5,8,0.3851245637260802,28,1.3479359730412808
FEDXDM12,M,NR,1,CAS20,105,52.5,2,0.09246417,59,2.727693018955155
FEDXDM13,M,NR,1,CAS20,115,57.5,2,0.09710571,67,3.2530412969007094
FEDXDM14,M,NR,1,CAS20,92,15.333333333333334,6,0.27504361223944074,39,1.7877834795563647
FEDXDM15,M,NR,1,CAS20,84,42,2,0.08901857,53,2.3589921119655797
FEDXDM16,M,NR,1,CAS20,108,36,3,0.13452244531911714,59,2.645608091
FEDXDM17,M,NR,1,CAS20,127,14.11111111111111,9,0.4058777105490624,50,2.254876169717013
FEDXDM19,M,NR,1,CAS20,88,22,4,0.18152480839048002,55,2.495966115
FEDXDM20,M,NR,1,CAS20,78,78,1,0.04532635,53,2.402296535052377
FEDXDM11,M,NR,1,CAS5,75,18.75,4,0.19284336833083351,38,1.8320119991429185
FEDXDM12,M,NR,1,CAS5,68,68,1,0.046936114732724896,45,2.1121251629726205
FEDXDM13,M,NR,1,CAS5,55,0,0,0,37,1.6544528629983855
FEDXDM14,M,NR,1,CAS5,84,16.8,5,0.2404167223186857,38,1.8271670896220114
FEDXDM15,M,NR,1,CAS5,80,26.666666666666668,3,0.14261756044739657,53,2.5195769012373392
FEDXDM16,M,NR,1,CAS5,58,58,1,0.045334912,38,1.722726643075722
FEDXDM17,M,NR,1,CAS5,58,19.333333333333332,3,0.13842072209476694,31,1.430347461645925
FEDXDM19,M,NR,1,CAS5,88,0,0,0,67,3.032855939342881
FEDXDM20,M,NR,1,CAS5,77,38.5,2,0.090862054,49,2.2261203165028207
,,,,,,,,,,
,,,,,97.88888889,42.64285714,4.111111111,0.0809787,51.44444444,2.570787103
,,,,,71.44444444,28.57857143,2.111111111,0.034049241,44,#DIV/0!
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDM1,M,PR,1,CAS20,132,16.5,8,0.36144124697230207,59,2.6656291964207277
FEDXDM2,M,PR,1,CAS20,154,11,14,0.6281234811002131,47,2.1087002579792866
FEDXDM3,M,PR,1,CAS20,182,26,7,0.308986353,98,4.325808943438331
FEDXDM4,M,PR,1,CAS20,142,17.75,8,0.35477155421968737,74,3.281636876532108
FEDXDM5,M,PR,1,CAS20,100,14.285714285714286,7,0.3086381952014109,38,1.6754644882362306
FEDXDM6,M,PR,1,CAS20,121,13.444444444444445,9,0.4074856625415032,56,2.5354663447026864
FEDXDM7,M,PR,1,CAS20,123,15.375,8,0.3566784321010589,65,2.8980122608211034
FEDXDM8,M,PR,1,CAS20,153,25.5,6,0.2678305723638528,80,3.571074298184704
FEDXDM9,M,PR,1,CAS20,160,10.666666666666666,15,0.673291523,37,1.660785756143785
FEDXDM10,M,PR,1,CAS20,85,21.25,4,0.18057332029192685,42,1.896019863065232
FEDXDM1,M,PR,1,CAS5,86,43,2,0.088882305,56,2.488704540404415
FEDXDM2,M,PR,1,CAS5,43,43,1,0.048980258234805917,24,1.175526197635342
FEDXDM3,M,PR,1,CAS5,40,0,0,0,34,1.580354030290119
FEDXDM4,M,PR,1,CAS5,51,51,1,0.045676004872107184,34,1.5529841656516443
FEDXDM5,M,PR,1,CAS5,114,14.25,8,0.35408675125405725,46,2.035998819710829
FEDXDM6,M,PR,1,CAS5,109,27.25,4,0.17949964474028646,58,2.6027448487341536
FEDXDM7,M,PR,1,CAS5,75,37.5,2,0.089528854,50,2.238221360092513
FEDXDM8,M,PR,1,CAS5,48,24,2,0.089842775,31,1.3925630147242327
FEDXDM9,M,PR,1,CAS5,70,17.5,4,0.17883755588673622,35,1.5648286140089418
FEDXDM10,M,PR,1,CAS5,91,45.5,2,0.090131818,46,2.073031809020693
,,,,,,,,,,
,,,,,135.2,19.05357143,8.6,0.491138938,59.6,#DIV/0!
,,,,,72.7,30.3,2.6,0.07167715,41.4,#DIV/0!
