MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDF1,F,PR,0,MIX,210,6.5625,2.5416666666666665,32,1.4725243822939171,24,1.1043932867204378
FEDXDF1,F,PR,0,MIX,296,14.095238095238095,2.586206896551724,21,0.4413335746268221,116,2.4378426027005413
FEDXDF2,F,PR,0,MIX,350,10,2.838709677419355,35,1.5818414643332412,93,4.203178748085469
FEDXDF2,F,PR,0,MIX,330,15,2.597122302158273,22,0.4525093701435232,139,2.8590364749977146
FEDXDF3,F,PR,0,MIX,291,10.392857142857142,2.7375,28,1.1863987853536244,80,3.3897108152960698
FEDXDF3,F,PR,0,MIX,375,10.416666666666666,2.53,36,0.7416775877165371,100,2.0602155214348254
FEDXDF4,F,PR,0,MIX,294,8.4,3.1136363636363638,35,1.4740462569753976,44,1.8530867230547856
FEDXDF4,F,PR,0,MIX,312,8,2.4716981132075473,39,0.8013973081269906,53,1.089078393095654
FEDXDF5,F,PR,0,MIX,227,8.407407407407407,2.782608695652174,27,1.642668829851957,23,1.3993104846887041
FEDXDF5,F,PR,0,MIX,363,11,2.4457831325301207,33,0.7137492865511129,83,1.7951875995073447
FEDXDF6,F,PR,0,MIX,296,11.84,2.925,25,1.1445285178355695,80,3.6624912570738224
FEDXDF6,F,PR,0,MIX,328,11.310344827586206,2.5833333333333335,29,0.666560255,84,1.930726257
FEDXDF7,F,PR,0,MIX,249,15.5625,2.734042553191489,16,0.7172207695181173,94,4.213672020918939
FEDXDF7,F,PR,0,MIX,328,13.12,2.592,25,0.5135579293344289,125,2.5677896466721446
FEDXDF8,F,PR,0,MIX,244,10.608695652173912,2.7375,23,0.9688063089415674,80,3.369761074579365
FEDXDF8,F,PR,0,MIX,316,15.8,2.6538461538461537,20,0.4124798056761804,130,2.681118736895173
FEDXDF9,F,PR,0,MIX,260,16.25,2.623853211009174,16,0.6829256725513677,109,4.652431144256192
FEDXDF9,F,PR,0,MIX,275,55,2.438596491,5,0.10324356878602771,171,3.5309300524821476
FEDXDF10,F,PR,0,MIX,250,8.333333333333334,3,30,1.3941060295085776,54,2.509390853
FEDXDF10,F,PR,0,MIX,301,23.153846153846153,2.5675675675675675,13,0.27184646483422015,148,3.094867445804968
FEDXDF1,F,PR,1,CAS20,112,37.333333333333336,2.4545454545454546,3,0.1340282948622487,66,2.9486224869694713
FEDXDF2,F,PR,1,CAS20,118,39.333333333333336,2.537313432835821,3,0.12547051442910917,67,2.8021748222501044
FEDXDF3,F,PR,1,CAS20,111,37,2.3661971830985915,3,0.12548217688339453,71,2.9697448529070036
FEDXDF4,F,PR,1,CAS20,136,13.6,2.76,10,0.4192286193404136,50,2.096143096702068
